ZIP,MEDIAN RENT,MEDIAN INCOME,POPULATION,AVG_COMMUTE,COMMUTE_30+,RENT BURDEN
19102,2217,102093,7568,27.35370611,0.345253576,26%
19103,2015,99644,28717,26.46049719,0.287416993,24%
19104,1364,38814,56839,27.73972238,0.385417221,42%
19106,2238,121047,15190,28.11384914,0.388447271,22%
19107,1759,69105,17600,25.15768825,0.303455561,31%
19108,-,,,,,
19109,-,,,,,
19111,1268,61138,67017,36.6230462,0.580782672,25%
19112,-,,,,,
19113,-,,,,,
19114,1407,77708,32645,35.31290664,0.532856213,22%
19115,1315,70054,35919,35.75684522,0.567044415,23%
19116,1254,67535,35610,34.06271471,0.518512864,22%
19118,1818,109649,9728,32.22622903,0.539888137,20%
19119,1331,92651,27265,34.69412888,0.556047049,17%
19120,1252,54000,66177,39.23482107,0.642702051,28%
19121,1187,38516,41799,32.5476013,0.473573655,37%
19122,1471,63676,26668,30.07630612,0.436114515,28%
19123,1740,102106,18793,34.02454507,0.460431655,20%
19124,1124,45314,68766,35.08545447,0.552068106,30%
19125,1782,109554,25325,32.37592802,0.512185281,20%
19126,1119,53176,16159,39.16018057,0.678237858,25%
19127,1755,102106,6929,39.25378151,0.638991597,21%
19128,1673,93173,36808,32.63930568,0.54580759,22%
19129,1557,80606,11437,32.90045506,0.545392491,23%
19130,1867,112037,31477,30.7329167,0.425492104,20%
19131,1375,48393,42705,34.29468468,0.520399158,34%
19132,1095,32823,33926,38.22174862,0.595072253,40%
19133,1004,31034,24772,36.01050584,0.570116732,39%
19134,1174,44066,57463,31.33222458,0.48787062,32%
19135,1301,53138,35422,37.51080164,0.625646169,29%
19136,1214,56687,39151,34.49956415,0.535145416,26%
19137,1226,76739,8682,33.69409504,0.56743536,19%
19138,1169,57744,31816,34.42578475,0.609955157,24%
19139,1187,40947,43281,34.56650441,0.532693067,35%
19140,1172,36226,52124,34.56756378,0.465727502,39%
19141,1089,43998,31047,34.0373803,0.550469999,30%
19142,1368,38376,29565,36.21920418,0.642236795,43%
19143,1444,43244,64648,34.91350625,0.579753423,40%
19144,1153,53161,44481,36.96602079,0.598858886,26%
19145,1384,71965,47079,30.24837923,0.449215936,23%
19146,1818,103059,41920,29.54798796,0.40697804,21%
19147,1716,105755,41096,32.13958846,0.448084327,19%
19148,1594,82605,53976,32.53618737,0.490385643,23%
19149,1548,58496,60408,36.17644414,0.559451562,32%
19150,1273,66936,23126,38.49033063,0.632979829,23%
19151,1189,54634,30394,34.6778229,0.573283052,26%
19152,1358,59408,35911,37.4273766,0.564110223,27%
19153,1389,55213,11985,35.69551472,0.543568465,30%
19154,1477,95027,34681,33.2079908,0.502717013,19%